"country","year","month","total_spent"
"USA",2015,9,22622.63
"USA",2015,10,10792.14
"USA",2015,11,3202.59
"USA",2015,12,4988.2
"USA",2016,1,4229.68
"USA",2016,2,4569.26
"USA",2016,3,23073.02
"USA",2016,4,20722.16
"USA",2016,5,26114.63
"USA",2016,6,34910.69
"USA",2016,7,40674.69
"USA",2016,8,34003.98
"USA",2016,9,36674.87
"USA",2016,10,31063.63
"USA",2016,11,27246.75
"USA",2016,12,22812
"USA",2017,1,15322.56
"USA",2017,2,10385.2
"USA",2017,3,18344.26
"USA",2017,4,35420.36
"USA",2017,5,53779
"USA",2017,6,59675.57
"USA",2017,7,59984
"USA",2017,8,90672.33
"VNM",2016,7,318
"VNM",2016,8,276
"VNM",2016,9,284.43
"VNM",2016,10,89.1
"VNM",2016,11,616
"VNM",2017,6,80.1
"VNM",2017,7,551.25
"VNM",2017,8,533.52
